Word,Keys,SubKeys,ClassficationConfidence,Site,Ignore,Note
Number of Cores,PROC,PROC-CORES,,Flipkart,,
OS Architecture,OS,OS-ARC,,Flipkart,,
Operating System,OS,,,Flipkart,,
System Architecture,,,,Flipkart,Y,
Mic In,MIC,,,Flipkart,,
RJ45,ETH,,,Flipkart,,
USB Port,USB,,,Flipkart,,
HDMI Port,HDMI,,,Flipkart,,
Touchscreen,DISP,DISP-TOUCH,,Flipkart,,
Screen Size,DISP,DISP-SIZE,,Flipkart,,
Screen Resolution,DISP,DISP-RES,,Flipkart,,
Screen Type,DISP,DISP-TYPE,,Flipkart,,
Speakers,SPEKR,,,Flipkart,,
Internal Mic,,,,Flipkart,Y,?
Sound Chip,SPEKR,,,Flipkart,,
Sound Properties,SPEKR,,,Flipkart,,
Wireless LAN,CONN,CONN-WIFI,,Flipkart,,
Bluetooth,CONN,CONN-BLU,,Flipkart,,
Ethernet,ETH,,,Flipkart,,vs RJ45
Dimensions,DIM,,,Flipkart,,
Weight,WEIGHT,,,Flipkart,,
Disk Drive,OPT,,,Flipkart,,
Web Camera,CAM,,,Flipkart,,
Keyboard,KEYB,,,Flipkart,,
Backlit Keyboard,KEYB,,,Flipkart,,
Pointer Device,TOUCHP,,,Flipkart,,Other? Ignore?
Included Software,SOFTW,,,Flipkart,,
Additional Features,,,,Flipkart,Y,Infer from values?
Warranty Summary,WARTY,,,Flipkart,,
Warranty Service Type,WARTY,,,Flipkart,,
Covered in Warranty,WARTY,,,Flipkart,,
Not Covered in Warranty,WARTY,,,Flipkart,,
Domestic Warranty,WARTY,,,Flipkart,,
HDD Capacity,HDD,,,Flipkart,,
